rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
420,QXO Building Products,"$6,943.9",-2.30%,$-80.9,-,"$6,957.5","$3,631.4",14,"7,582",14,399,View More details about QXO Building Products
421,Securian Financial Group,"$6,870.4",4.10%,$243.3,-44.10%,"$68,059.3",-,34,"6,537",34,244,View More details about Securian Financial Group
422,Oshkosh,"$6,856.8",-18.20%,$324.5,-44%,"$5,815.9","$8,114.5",-45,"14,400",-45,281,View More details about Oshkosh
423,FM,"$6,798",0.80%,"$1,731.9",-30.10%,"$27,975.7",-,24,"5,625",24,-,View More details about FM
424,Booking Holdings,"$6,796",-54.90%,$59,-98.80%,"$21,874","$95,434.4",-214,"20,199",-214,290,View More details about Booking Holdings
425,Williams-Sonoma,"$6,783.2",15%,$680.7,91.20%,"$4,661.4","$13,653.8",64,"16,600",64,343,View More details about Williams-Sonoma
426,Coty,"$6,737.9",-22.10%,"$-1,006.7",-,"$16,728.8","$6,908.8",-60,"18,260",-60,165,View More details about Coty
427,Clorox,"$6,721",8.20%,$939,14.50%,"$6,213","$24,262.6",47,"8,800",47,155,View More details about Clorox
428,Pioneer Natural Resources,"$6,685",-28.30%,$-200,-125.90%,"$19,229","$34,397.3",-87,"1,853",-87,206,View More details about Pioneer Natural Resources
429,Dover,"$6,683.8",-6.30%,$683.5,0.80%,"$9,152.1","$19,727.1",4,"23,000",4,263,View More details about Dover
430,CMS Energy,"$6,680",-2.40%,$755,11%,"$29,666","$17,718.7",13,"8,493",13,197,View More details about CMS Energy
431,Zoetis,"$6,675",6.60%,"$1,638",9.20%,"$13,609","$74,829.2",41,"11,300",41,381,View More details about Zoetis
432,Hanesbrands,"$6,664.4",-4.30%,$-75.6,-112.60%,"$7,698.9","$6,865",4,"61,000",4,330,View More details about Hanesbrands
433,Packaging Corp. of America,"$6,658.2",-4.40%,$461,-33.80%,"$7,433.2","$12,775",4,"15,200",4,390,View More details about Packaging Corp. of America
434,Regions Financial,"$6,655",-1.50%,"$1,094",-30.80%,"$147,389","$19,847.5",12,"19,406",12,89,View More details about Regions Financial
435,Graphic Packaging Holding,"$6,559.9",6.50%,$167.3,-19.10%,"$7,804.6","$4,862.4",42,"18,775",42,337,View More details about Graphic Packaging Holding
436,UGI,"$6,559",-10.40%,$532,107.70%,"$13,985","$8,552.8",-13,"11,300",-13,287,View More details about UGI
437,Sprouts Farmers Market,"$6,468.8",14.80%,$287.5,92.10%,"$2,806.4","$3,139.9",65,"33,000",-,176,View More details about Sprouts Farmers Market
438,Avantor,"$6,393.6",5.80%,$116.6,208.50%,"$9,906.5","$16,631.4",46,"12,400",46,303,View More details about Avantor
