rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
232,Guardian Life Ins. Co. of America,"$18,706",13.60%,$761,195%,"$105,980",-,21,"7,645",21,View More details about Guardian Life Ins. Co. of America
233,Cleveland-Cliffs,"$18,610",-3%,"$-1,478",,"$20,012","$4,819.8",-12,"25,000",-12,View More details about Cleveland-Cliffs
234,Global Partners,"$18,561.4",8.10%,$98,-11.20%,"$3,850.7","$1,431.2",10,"3,982",10,View More details about Global Partners
235,Aramark,"$18,506.3",6.40%,$326.4,24.30%,"$13,304.6","$10,655.4",4,"278,390",4,View More details about Aramark
236,Corebridge Financial,"$18,481",-1.60%,$-366,-116.40%,"$413,547","$11,493",-12,"4,800",-12,View More details about Corebridge Financial
237,Loews,"$18,454",5.40%,"$1,667",17.90%,"$86,348","$21,994.1",-,"13,100",-,View More details about Loews
238,Lam Research,"$18,435.6",23.70%,"$5,358.2",40%,"$21,345.3","$266,812.4",57,"19,000",57,View More details about Lam Research
239,Goodyear Tire & Rubber,"$18,280",-3.20%,"$-1,721",-2558.60%,"$18,208","$1,899.6",-16,"63,000",-16,View More details about Goodyear Tire & Rubber
240,Pacific Life,"$18,235",15.20%,$876,-28.60%,"$275,055",-,32,"4,664",32,View More details about Pacific Life
241,Auto-Owners Insurance,"$18,229.3",15.10%,"$2,704.6",289%,"$44,711.2",-,29,"7,556",29,View More details about Auto-Owners Insurance
242,Peter Kiewit Sons',"$18,213",8.20%,"$1,616",22.90%,"$14,359",-,5,"34,500",5,View More details about Peter Kiewit Sons'
243,Lincoln National,"$18,212",-1.30%,"$1,177",-64.10%,"$417,204","$6,748.2",-15,"9,423",-15,View More details about Lincoln National
244,Steel Dynamics,"$18,176.6",3.60%,"$1,185.6",-22.90%,"$16,419.8","$26,050",-8,"14,400",-8,View More details about Steel Dynamics
245,Emerson Electric,"$18,016",3%,"$2,293",16.50%,"$41,964","$73,633.2",-7,"71,000",-7,View More details about Emerson Electric
246,Asbury Automotive Group,"$17,999",4.70%,$492,14.30%,"$11,618.2","$3,770.6",-4,"15,000",-4,View More details about Asbury Automotive Group
247,ManpowerGroup,"$17,957.1",0.60%,$-13.3,-109.20%,"$9,160.1","$1,369.6",-15,"25,400",-15,View More details about ManpowerGroup
248,W.W. Grainger,"$17,942",4.50%,"$1,706",-10.60%,"$8,962","$51,628",-5,"23,550",-5,View More details about W.W. Grainger
249,Jones Financial (Edward Jones),"$17,897",10.10%,"$2,090",5.50%,"$30,508",-,11,"55,000",11,View More details about Jones Financial (Edward Jones)
250,O'Reilly Automotive,"$17,782",6.40%,"$2,538.2",6.40%,"$16,538.3","$77,235.7",-1,"85,591",-1,View More details about O'Reilly Automotive
251,Vistra,"$17,738",3%,$944,-64.50%,"$41,550","$50,894.1",-10,"6,390",-10,View More details about Vistra
252,Texas Instruments,"$17,682",13.10%,"$5,001",4.20%,"$34,585","$176,757.4",25,"33,000",25,View More details about Texas Instruments
253,MGM Resorts International,"$17,537.7",1.70%,$205.9,-72.40%,"$41,373.8","$9,468.9",-13,"69,000",-13,View More details about MGM Resorts International
254,Corteva,"$17,401",2.90%,"$1,094",20.60%,"$42,845","$56,199.3",-8,"21,500",-8,View More details about Corteva
255,Universal Health Services,"$17,364.8",9.70%,"$1,488.8",30.40%,"$15,527.6","$10,932.7",16,"89,950",16,View More details about Universal Health Services
256,PulteGroup,"$17,312",-3.50%,"$2,218.7",-28%,"$18,048.4","$22,532.8",-27,"6,506",-27,View More details about PulteGroup
257,Omnicom Group,"$17,271.9",10.10%,$-54.5,-103.70%,"$54,415.3","$21,462.5",19,"120,000",19,View More details about Omnicom Group
258,Dick's Sporting Goods,"$17,215.1",28.10%,$849.2,-27.10%,"$17,411.5","$17,656.7",60,"68,400",60,View More details about Dick's Sporting Goods
259,Devon Energy,"$17,188",7.80%,"$2,642",-8.60%,"$31,599","$31,270.9",8,"2,200",8,View More details about Devon Energy
260,Leidos Holdings,"$17,174",3.10%,"$1,448",15.50%,"$13,493","$19,584.4",-10,"47,000",-10,View More details about Leidos Holdings
261,Aflac,"$17,164",-9.30%,"$3,646",-33%,"$116,470","$56,520.8",-39,"12,716",-39,View More details about Aflac
262,Targa Resources,"$17,028.3",4%,"$1,923",46.60%,"$25,218.4","$53,857.3",-6,"3,570",-6,View More details about Targa Resources
263,Murphy USA,"$17,017.9",-5%,$470.6,-6.40%,"$4,725.8","$9,138.5",-32,"11,400",-32,View More details about Murphy USA
264,LPL Financial Holdings,"$16,989.5",37.20%,$863,-18.50%,"$18,492.8","$24,123",76,"10,099",76,View More details about LPL Financial Holdings
265,EMCOR Group,"$16,986.4",16.60%,"$1,272.8",26.40%,"$9,291.4","$32,878.8",35,"44,000",35,View More details about EMCOR Group
266,Kinder Morgan,"$16,937",12.20%,"$3,056",17%,"$72,748","$74,597.8",23,"11,028",23,View More details about Kinder Morgan
267,Consolidated Edison,"$16,918",10.90%,"$2,023",11.20%,"$74,603","$40,886",19,"15,407",19,View More details about Consolidated Edison
