year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Alaska Air Group,,322,Ben Minicucci,,,,,,https://en.wikipedia.org/wiki/Alaska_Air_Group,https://en.wikipedia.org/wiki/Alaska_Air_Group
2026,BrightSpring Health Services,,323,Jon B. Rousseau,Jon Rousseau,,,,,,
2026,CSX,,324,Steve Angel,,,,,,https://en.wikipedia.org/wiki/CSX_Transportation,https://en.wikipedia.org/wiki/CSX_Transportation
2026,LKQ,,325,Justin Jude,,,,,,https://en.wikipedia.org/wiki/LKQ_Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation
2026,Labcorp Holdings,Laboratory Corp. of America,326,Adam H. Schechter,Adam Schechter,,,,,https://en.wikipedia.org/wiki/Labcorp,https://en.wikipedia.org/wiki/Labcorp
2026,Arthur J. Gallagher,,327,J. Patrick Gallagher Jr.,,,,,,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
2026,Venture Global,,328,Michael A. Sabel,Michael Sabel,,,,,,
2026,DoorDash,,329,Tony Xu,,,,,,https://en.wikipedia.org/wiki/DoorDash,https://en.wikipedia.org/wiki/DoorDash
2026,Sempra,,330,Jeffrey W. Martin,,,,,,https://en.wikipedia.org/wiki/Sempra,https://en.wikipedia.org/wiki/Sempra
2026,DaVita,,331,Javier J. Rodriguez,Javier Rodriguez,,,,,https://en.wikipedia.org/wiki/DaVita,https://en.wikipedia.org/wiki/DaVita
2026,Eversource Energy,,332,Joseph R. Nolan,Joseph Nolan,,,,,https://en.wikipedia.org/wiki/Eversource_Energy,https://en.wikipedia.org/wiki/Eversource_Energy
2026,ServiceNow,,333,Bill McDermott,,,,,,https://en.wikipedia.org/wiki/ServiceNow,https://en.wikipedia.org/wiki/ServiceNow
2026,M&T Bank,,334,René F. Jones,René Jones,,,,,https://en.wikipedia.org/wiki/M%26T_Bank,https://en.wikipedia.org/wiki/M%26T_Bank
2026,Henry Schein,,335,Frederick M. Lowery,,,,,,https://en.wikipedia.org/wiki/Henry_Schein,https://en.wikipedia.org/wiki/Henry_Schein
2026,GXO Logistics,,336,Patrick Kelleher,,,,,,https://en.wikipedia.org/wiki/GXO_Logistics,https://en.wikipedia.org/wiki/GXO_Logistics
2026,Ball,,337,Ronald J. Lewis,,,,,,https://en.wikipedia.org/wiki/Ball_Corporation,https://en.wikipedia.org/wiki/Ball_Corporation
2026,Unum Group,,338,Rick McKenney,,,,,,https://en.wikipedia.org/wiki/Unum,https://en.wikipedia.org/wiki/Unum
2026,Las Vegas Sands,,339,Patrick Dumont,,,,,,https://en.wikipedia.org/wiki/Las_Vegas_Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands
2026,Entergy,,340,Andrew S. Marsh,Andrew Marsh,,,,,https://en.wikipedia.org/wiki/Entergy,https://en.wikipedia.org/wiki/Entergy
2026,Fifth Third Bancorp,,341,Timothy N. Spence,Tim Spence,,,,,https://en.wikipedia.org/wiki/Fifth_Third_Bank,https://en.wikipedia.org/wiki/Fifth_Third_Bank
2026,Graybar Electric,,342,Kathleen Mazzarella,Kathleen M. Mazzarella,,,,,https://en.wikipedia.org/wiki/Graybar,https://en.wikipedia.org/wiki/Graybar
2026,DXC Technology,,343,Raul Fernandez,,,,,,https://en.wikipedia.org/wiki/DXC_Technology,https://en.wikipedia.org/wiki/DXC_Technology
2026,Alcoa,,344,William F. Oplinger,,,,,,https://en.wikipedia.org/wiki/Alcoa,https://en.wikipedia.org/wiki/Alcoa
2026,Assurant,,345,Keith W. Demmings,Keith Demmings,,,,,https://en.wikipedia.org/wiki/Assurant,https://en.wikipedia.org/wiki/Assurant
2026,Ryder System,,346,John Diez,,,,,,https://en.wikipedia.org/wiki/Ryder,https://en.wikipedia.org/wiki/Ryder
2026,Intercontinental Exchange,,347,Jeffrey Sprecher,Jeffrey C. Sprecher,,,,,https://en.wikipedia.org/wiki/Intercontinental_Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange
